wdpa_id,date,population
197,2000-01-01,2556.13316297531
227,2000-01-01,16462.2310319256
3305,2000-01-01,3868.48220038414
3306,2000-01-01,1647.09168416262
3307,2000-01-01,2890.67610824108
3311,2000-01-01,1434.9762430191
3314,2000-01-01,1785.09886366129
12226,2000-01-01,2810.33699226379
12229,2000-01-01,1421.87075006962
12241,2000-01-01,873.511279702187
12570,2000-01-01,319.913027763367
12572,2000-01-01,504.995558738708
20224,2000-01-01,4087.02878558636
20230,2000-01-01,2277.27125823498
28850,2000-01-01,439.979478359222
30604,2000-01-01,2125.15080326796
30605,2000-01-01,21682.0959109664
30606,2000-01-01,706.429444789886
30614,2000-01-01,7263.64286327362
30618,2000-01-01,67162.0719320774
67670,2000-01-01,11.1618217672513
102817,2000-01-01,610.428231775761
102910,2000-01-01,1652.60430240631
107569,2000-01-01,7368.23761332035
115079,2000-01-01,922.42765724659
116297,2000-01-01,1162.48934221268
220034,2000-01-01,394.208227954434
301932,2000-01-01,693.809349060059
302086,2000-01-01,276.493293762207
306780,2000-01-01,898.217915833462
342347,2000-01-01,407.201212225366
902858,2000-01-01,52291.552588135
197,2001-01-01,2349.63173508644
227,2001-01-01,17213.7947332091
3305,2001-01-01,4206.19590473175
3306,2001-01-01,1450.33958250284
3307,2001-01-01,3030.06964457035
3311,2001-01-01,1513.50432682037
3314,2001-01-01,1754.24564725161
12226,2001-01-01,2928.44136607647
12229,2001-01-01,1304.68817031384
12241,2001-01-01,772.397634446621
12570,2001-01-01,313.042952537537
12572,2001-01-01,459.555475234985
20224,2001-01-01,4218.49647080898
20230,2001-01-01,1851.93045973778
28850,2001-01-01,394.473185181618
30604,2001-01-01,1999.97238242626
30605,2001-01-01,21304.0687510967
30606,2001-01-01,698.168905377388
30614,2001-01-01,6758.24174571037
30618,2001-01-01,69025.3206834793
67670,2001-01-01,13.7719452525271
102817,2001-01-01,541.251652359962
102910,2001-01-01,1573.26895570755
107569,2001-01-01,7829.43007904291
115079,2001-01-01,948.662185788155
116297,2001-01-01,1103.17861878872
220034,2001-01-01,435.745173040345
301932,2001-01-01,704.043253898621
302086,2001-01-01,252.375829696655
306780,2001-01-01,323.107285756618
342347,2001-01-01,396.169373619836
902858,2001-01-01,51126.1184103489
197,2002-01-01,2535.38762497902
227,2002-01-01,17869.8707590956
3305,2002-01-01,4485.35048604011
3306,2002-01-01,1670.40161377192
3307,2002-01-01,2930.76878976822
3311,2002-01-01,1415.62036728859
3314,2002-01-01,1775.32652330399
12226,2002-01-01,3007.45245206356
12229,2002-01-01,1332.51655817032
12241,2002-01-01,826.494080603123
12570,2002-01-01,332.268258094788
12572,2002-01-01,481.518843650818
20224,2002-01-01,4314.85268354416
20230,2002-01-01,2214.26569157839
28850,2002-01-01,428.783257484436
30604,2002-01-01,2239.99010580778
30605,2002-01-01,22253.1582689285
30606,2002-01-01,670.104689240456
30614,2002-01-01,7764.86176156998
30618,2002-01-01,71295.2071627378
67670,2002-01-01,15.0196175964229
102817,2002-01-01,655.320381522179
102910,2002-01-01,1609.8342590332
107569,2002-01-01,8283.00389006734
115079,2002-01-01,959.581451416016
116297,2002-01-01,1154.58507943153
220034,2002-01-01,460.902979814608
301932,2002-01-01,785.650430679321
302086,2002-01-01,315.577166557312
306780,2002-01-01,302.227301088627
342347,2002-01-01,399.252983427257
902858,2002-01-01,53931.1637774706
197,2003-01-01,2529.26928782463
227,2003-01-01,18432.3843656252
3305,2003-01-01,4468.18161845207
3306,2003-01-01,1555.00349885225
3307,2003-01-01,3247.01292741299
3311,2003-01-01,1543.01169800758
3314,2003-01-01,1800.40471738577
12226,2003-01-01,3015.67222201824
12229,2003-01-01,1371.0577236414
12241,2003-01-01,807.810934245586
12570,2003-01-01,344.83923625946
12572,2003-01-01,470.4129114151
20224,2003-01-01,4249.04742354155
20230,2003-01-01,1976.79952180386
28850,2003-01-01,387.461941123009
30604,2003-01-01,2229.88409286737
30605,2003-01-01,22577.2517609
30606,2003-01-01,679.799580693245
30614,2003-01-01,7234.24307775497
30618,2003-01-01,74281.1376482248
67670,2003-01-01,11.8676685906976
102817,2003-01-01,640.661818504333
102910,2003-01-01,1618.3028023243
107569,2003-01-01,8039.62960407138
115079,2003-01-01,1025.53685951233
116297,2003-01-01,1149.06712114811
220034,2003-01-01,477.824359991006
301932,2003-01-01,754.055256843567
302086,2003-01-01,269.80330657959
306780,2003-01-01,318.818966849939
342347,2003-01-01,393.579227887909
902858,2003-01-01,52921.0255613029
197,2004-01-01,2746.99888682365
227,2004-01-01,18882.0184626819
3305,2004-01-01,5048.38306236267
3306,2004-01-01,1808.58082807064
3307,2004-01-01,3066.59039545059
3311,2004-01-01,1521.36254477501
3314,2004-01-01,1820.36476844549
12226,2004-01-01,3197.71102273464
12229,2004-01-01,1363.84274244308
12241,2004-01-01,818.55813986063
12570,2004-01-01,370.917712211609
12572,2004-01-01,543.564787864685
20224,2004-01-01,4222.8691458106
20230,2004-01-01,2243.83251315355
28850,2004-01-01,425.10569870472
30604,2004-01-01,2271.53710484505
30605,2004-01-01,22446.1460139155
30606,2004-01-01,724.995423913002
30614,2004-01-01,8127.91513705253
30618,2004-01-01,77517.2301953435
67670,2004-01-01,10.5064281259401
102817,2004-01-01,678.299411475658
102910,2004-01-01,1861.13629484177
107569,2004-01-01,8045.85483214259
115079,2004-01-01,1051.84010887146
116297,2004-01-01,1242.7141354084
220034,2004-01-01,475.649184016824
301932,2004-01-01,833.466670036316
302086,2004-01-01,327.375960350037
306780,2004-01-01,316.499164894456
