wdpa_id,date,population
197,2000-01-01,8638.93914073706
227,2000-01-01,64085.4490695899
3305,2000-01-01,21809.3831617832
3306,2000-01-01,6358.42659163475
3307,2000-01-01,14719.9335064888
3311,2000-01-01,5904.73114846647
3314,2000-01-01,14886.4963725209
12226,2000-01-01,18358.9660500288
12229,2000-01-01,9853.16047298908
12241,2000-01-01,4347.67984896898
12570,2000-01-01,10977.3265463114
12572,2000-01-01,12823.3198803663
20224,2000-01-01,15839.0121422932
20230,2000-01-01,16071.5157666206
28850,2000-01-01,4352.92864477634
30604,2000-01-01,6412.62081506848
30605,2000-01-01,58263.79189177
30606,2000-01-01,4604.80393433571
30614,2000-01-01,54928.028776288
30618,2000-01-01,207062.59031342
67670,2000-01-01,9300.71006811847
102817,2000-01-01,2007.03106912971
102910,2000-01-01,21446.6051261425
107569,2000-01-01,58693.760984987
115079,2000-01-01,20270.9403659105
116297,2000-01-01,19481.5055398941
220034,2000-01-01,11763.0990510318
301932,2000-01-01,12643.8016524315
302086,2000-01-01,10760.7490916252
306780,2000-01-01,9307.21646520437
342347,2000-01-01,4771.96044768149
902858,2000-01-01,103978.950503737
197,2001-01-01,8271.05675804615
227,2001-01-01,66970.2767224833
3305,2001-01-01,22411.3710067273
3306,2001-01-01,5891.48654049635
3307,2001-01-01,15343.5434510708
3311,2001-01-01,6066.85393517464
3314,2001-01-01,15252.7688093781
12226,2001-01-01,19607.2331730127
12229,2001-01-01,10101.0604038239
12241,2001-01-01,4109.20389342308
12570,2001-01-01,11547.6256119013
12572,2001-01-01,12731.302159667
20224,2001-01-01,16207.1880537383
20230,2001-01-01,14863.5544202924
28850,2001-01-01,4207.96660077572
30604,2001-01-01,5574.00518392026
30605,2001-01-01,60027.1505725254
30606,2001-01-01,4545.83968001604
30614,2001-01-01,54691.7701282502
30618,2001-01-01,212265.534986407
67670,2001-01-01,9672.91575258894
102817,2001-01-01,1744.77945508808
102910,2001-01-01,20939.0459485054
107569,2001-01-01,58201.9211875051
115079,2001-01-01,20579.4157468081
116297,2001-01-01,19629.3716337681
220034,2001-01-01,12576.626197237
301932,2001-01-01,12871.2795703411
302086,2001-01-01,10527.9897446632
306780,2001-01-01,9142.47628745361
342347,2001-01-01,4795.03391034761
902858,2001-01-01,105255.98828429
197,2002-01-01,9122.79796910286
227,2002-01-01,68602.7287708821
3305,2002-01-01,23973.9661408663
3306,2002-01-01,6669.81221836805
3307,2002-01-01,15128.2432681322
3311,2002-01-01,5931.59393781424
3314,2002-01-01,15989.8273993134
12226,2002-01-01,20366.1796849221
12229,2002-01-01,10270.5140154362
12241,2002-01-01,4169.31669980288
12570,2002-01-01,12215.7088565826
12572,2002-01-01,13523.5892590284
20224,2002-01-01,16939.6947883032
20230,2002-01-01,16371.7451274991
28850,2002-01-01,4410.27317285538
30604,2002-01-01,6238.65380565822
30605,2002-01-01,61295.6901645163
30606,2002-01-01,4703.9665697813
30614,2002-01-01,56385.0906209946
30618,2002-01-01,219297.737902045
67670,2002-01-01,9761.80052155658
102817,2002-01-01,2095.6730812788
102910,2002-01-01,22227.044788599
107569,2002-01-01,59549.8724568188
115079,2002-01-01,22156.7787790298
116297,2002-01-01,20140.0344101191
220034,2002-01-01,13068.4406447719
301932,2002-01-01,13360.6378819942
302086,2002-01-01,11539.5924048424
306780,2002-01-01,9486.25690277689
342347,2002-01-01,5433.9319244104
902858,2002-01-01,109096.491051733
197,2003-01-01,8888.55201601982
227,2003-01-01,71262.9052065297
3305,2003-01-01,23548.5801206827
3306,2003-01-01,6246.61319303513
3307,2003-01-01,16283.4678014517
3311,2003-01-01,6158.82704092562
3314,2003-01-01,16180.4191580415
12226,2003-01-01,20697.7750345096
12229,2003-01-01,10513.3247460127
12241,2003-01-01,4180.98522025347
12570,2003-01-01,12369.3754916191
12572,2003-01-01,13878.9977579713
20224,2003-01-01,16559.9053978138
20230,2003-01-01,15689.5942823887
28850,2003-01-01,4258.99235397577
30604,2003-01-01,6168.89499391988
30605,2003-01-01,62362.3723061499
30606,2003-01-01,4664.82015675306
30614,2003-01-01,57297.9846895933
30618,2003-01-01,226950.183001973
67670,2003-01-01,10104.9754628238
102817,2003-01-01,2039.59806029126
102910,2003-01-01,22301.5564234257
107569,2003-01-01,59922.9951292649
115079,2003-01-01,22291.8305845261
116297,2003-01-01,20576.8670210838
220034,2003-01-01,13780.777169921
301932,2003-01-01,13653.1155028343
302086,2003-01-01,11442.174349308
306780,2003-01-01,9351.34117011394
342347,2003-01-01,5488.65271144896
902858,2003-01-01,110657.023234397
197,2004-01-01,9580.38205045462
227,2004-01-01,73865.6250151167
3305,2004-01-01,25857.0221056938
3306,2004-01-01,7229.82822012901
3307,2004-01-01,16181.3462052345
3311,2004-01-01,6257.25628697686
3314,2004-01-01,16964.8404733539
12226,2004-01-01,22031.5871216953
12229,2004-01-01,10759.8047199249
12241,2004-01-01,4272.47408753633
12570,2004-01-01,13181.1288309097
12572,2004-01-01,15303.0060287714
20224,2004-01-01,17087.7285208218
20230,2004-01-01,17190.0990121365
28850,2004-01-01,4569.41666257381
30604,2004-01-01,6317.4146880433
30605,2004-01-01,63273.0600423478
30606,2004-01-01,5069.46197772026
30614,2004-01-01,58937.6412650943
30618,2004-01-01,237502.607194602
67670,2004-01-01,10386.8506757904
102817,2004-01-01,2126.68204146624
102910,2004-01-01,25515.1314530373
107569,2004-01-01,61066.522860989
115079,2004-01-01,23963.2702217102
116297,2004-01-01,21523.6050446033
220034,2004-01-01,14561.350342133
301932,2004-01-01,14228.4453523159
302086,2004-01-01,12329.1201629639
306780,2004-01-01,9469.53437500516
342347,2004-01-01,5578.06507112378
902858,2004-01-01,113901.539330423
197,2005-01-01,10035.9174200296
227,2005-01-01,77191.9308465849
3305,2005-01-01,26580.5482313633
3306,2005-01-01,7467.8566942215
3307,2005-01-01,16606.1779872179
3311,2005-01-01,6560.56291751936
3314,2005-01-01,17657.4254546762
12226,2005-01-01,23649.1748359054
12229,2005-01-01,11373.4917215109
12241,2005-01-01,4418.622138381
12570,2005-01-01,13575.0010781288
12572,2005-01-01,15395.4746336937
20224,2005-01-01,17391.3321577646
20230,2005-01-01,17567.4375188351
28850,2005-01-01,4761.58266758919
30604,2005-01-01,6991.27776305377
30605,2005-01-01,65416.4110595764
30606,2005-01-01,5255.83217996359
30614,2005-01-01,60640.4697868824
30618,2005-01-01,244115.242162049
67670,2005-01-01,10801.0390154581
102817,2005-01-01,2201.62910128385
102910,2005-01-01,26464.2684168816
107569,2005-01-01,61726.3759497702
115079,2005-01-01,24830.0722718239
116297,2005-01-01,21462.568561554
220034,2005-01-01,15321.0663847349
301932,2005-01-01,14446.0962584019
302086,2005-01-01,12668.69292593
306780,2005-01-01,10470.4371346813
342347,2005-01-01,5749.55820528558
902858,2005-01-01,118685.936784834
197,2006-01-01,10547.5298248529
227,2006-01-01,79419.5842894991
3305,2006-01-01,25242.1948729754
3306,2006-01-01,6959.94963973761
3307,2006-01-01,16838.6734596491
3311,2006-01-01,6657.15470343083
3314,2006-01-01,17449.8056966066
12226,2006-01-01,23945.2965269759
12229,2006-01-01,11485.7188315392
12241,2006-01-01,4536.72087937593
12570,2006-01-01,14029.3369858265
12572,2006-01-01,16312.8367817402
20224,2006-01-01,17397.351579342
20230,2006-01-01,16690.8239505291
28850,2006-01-01,4750.31679284573
30604,2006-01-01,7137.77633858845
30605,2006-01-01,67292.314284163
30606,2006-01-01,5406.81674045324
30614,2006-01-01,62173.4286425114
30618,2006-01-01,252738.066404618
67670,2006-01-01,10994.0207559078
102817,2006-01-01,2251.64586904272
102910,2006-01-01,27855.4986877441
107569,2006-01-01,62575.6337033361
115079,2006-01-01,25551.8579075336
