wdpa_pid,name_kfw,type_kfw,area_sqkm_kfw,mab_kfw,world_heritage_kfw,ramsar_kfw,ecosystem_kfw,bmz_n_1,bmz_n_2,bmz_n_3,bmz_n_4,bmz_n_5,bmz_n_6,bmz_n_7,bmz_n_8,bmz_n_9,bmz_n_10
68,Parque Nacional Monte Pascoal,National Park,223.3,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
198352,Parque Nacional do Descobrimento,National Park,226.9,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
555511939,Serrania de los Yarguies,National Park,590.63,NA,NA,NA,Wald,201265685,NA,NA,NA,NA,NA,NA,NA,NA,NA
18839,Lancetilla,National Park,19.6,NA,NA,NA,Wald,201165984,NA,NA,NA,NA,NA,NA,NA,NA,NA
555629313,Cerro Mampil,National Park,0.1,NA,NA,NA,Wald,201067164,NA,NA,NA,NA,NA,NA,NA,NA,NA
555556016,La Primavera,National Park,0.9,NA,NA,NA,Wald,201067164,NA,NA,NA,NA,NA,NA,NA,NA,NA
555600297,Reserva Particular do Patrimônio Natural Rio Jardim,National Park,0.1,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
555600202,Reserva Particular do Patrimônio Natural Carroula,National Park,0.15,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
478454,PNM de Petrópolis,National Park,0.2,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
555629305,Los Regadíos,National Park,0.3,NA,NA,NA,Wald,201067164,NA,NA,NA,NA,NA,NA,NA,NA,NA
555599979,RPPN Fazenda Suspiro,National Park,0.18,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
555629331,Montana Negra,National Park,0.61,NA,NA,NA,Wald,201067164,NA,NA,NA,NA,NA,NA,NA,NA,NA
555576230,RPPN Serra do Itatins,National Park,0.75,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
555629363,Asunlaq,National Park,0.3,NA,NA,NA,Wald,201067164,NA,NA,NA,NA,NA,NA,NA,NA,NA
555637340,Twi A'ljwitz,National Park,1.3,NA,NA,NA,Wald,201067164,NA,NA,NA,NA,NA,NA,NA,NA,NA
555600241,RPPN Santa Maria I,National Park,0.97,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
555600250,RPPN Santa Maria III,National Park,1.6,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
555600223,RPPN Santa Maria II,National Park,1.59,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
555600232,RPPN Graziela Maciel Barroso,National Park,1.84,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
351720,Ilha do Ameixal,National Park,3.59,NA,NA,NA,Küste,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
555682146,ESEC Montes das Flores,National Park,2.1,NA,NA,NA,Wald,209810961,NA,NA,NA,NA,NA,NA,NA,NA,NA
555629318,A'qoma,National Park,3,NA,NA,NA,Wald,201067164,NA,NA,NA,NA,NA,NA,NA,NA,NA
555629306,Piedras de Cap Tzin,National Park,3,NA,NA,NA,Wald,201067164,NA,NA,NA,NA,NA,NA,NA,NA,NA
31398,Estoraques,Unique Nature Area,6.41,NA,NA,NA,Hochgebirge,201065143,NA,NA,NA,NA,NA,NA,NA,NA,NA
